*Generic
Reference Type	Author	Year	Title	Secondary Title	Place Published	Pages	Number	Publisher	Volume	Secondary Author	Custom 1
Journal	Gabrielli AF, Ramsan M, Naumann C, Tsogzolmaa D, Bojang B, Khoshal MH, Connolly M, Stothard JR, Montresor A, Savioli L	2005	Soil-transmitted helminths and haemoglobin status among Afghan children in World Food Programme assisted schools	Journal of Helminthology 		381 384			79		AFG0002
Journal	Korzeniewski K, Augustynowicz A, Smolen A, Lass A	2015	Epidemiology of intestinal parasitic infections in school children in Ghazni Province, eastern Afghanistan	Pak J Med Sci	""	1421-5	6	""	31	""	AFG0003
Journal	Korzeniewski, K. Smolen, A. Augustynowicz, A. Lass, A.	2016	Diagnostics of intestinal parasites in light microscopy among the population of children in eastern Afghanistan	Ann Agric Environ Med	""	666-670	4	""	23	""	AFG0004
Journal	Sousa-Figueiredo JC, Gamboa D, Pedro JM, Fancony C, Langa AJ, Magalhaes RJ, Stothard JR, Nery SV	2012	Epidemiology of malaria, schistosomiasis, geohelminths, anemia and malnutrition in the context of a demographic surveillance system in northern Angola	PLoS One		e33189	4		7		AGO0001
Journal	Casaca VM	1966	[Contribution to the study of bancrofti filariasis in Angola. 1. Possibilities of its existence and probable distribution. 2. Bibliographic review and personal observations]	An Inst Med Trop (Lisb)		127-132	1		23		AGO0001LF
Journal	Basualdo JA, Cordoba MA, Luca MMd, Ciarmela ML, Pezzani BC, Grenovero MS, Minvielle MC	2007	Intestinal parasitoses and environmental factors in a rural population of Argentina, 2002-2003	Revista do Instituto de Medicina Tropical de Sao Paulo		251-255	4		49		ARG0001
Journal	Beltramino D, Lura MC, Carrera E	2003	Selective vs. mass treatment with antihelminthic drugs: experience in two hyperendemic communities	Revista Panamericana de Salud Publica/Pan American Journal of Public Health		10-18	1		13		ARG0002
Journal	Borda CE, Rea MJF, Rosa JR, Maidana C	1996	Intestinal parasitism in San Cayetano, Corrientes, Argentina	Boletin de la Oficina Sanitaria Panamericana		110-116	2		120		ARG0003
Journal	Costamagna S, Cafasso OT, Garcia SH, Visciarelli E, Osorio J, Santamaria B	1999	Enteroparasites in children living in the rural area of Partido de Carmen de Patagones, Province of Buenos Aires, Argentina	Parasitologia al Dia		48-52	1-2		23		ARG0004
Journal	Gamboa MI, Basualdo JA, Kozubsky L, Costas E, Rua EC, Lahitte HB	1998	Prevalence of intestinal parasitosis within three population groups in La Plata, Argentina	European Journal of Epidemiology		55-61	1		14		ARG0006
Journal	Milano AMF, Oscherov EB, Palladino AC, Bar AR	2007	Enteroparasitosis in children in an urban area of northeast Argentina	Medicina (Buenos Aires)		238-242	3		67		ARG0008
Journal	Silvia GL, Christian A, Juana O, Silvia NG	2006	Alarming levels of infection by enteric parasites in children of Burruyacu, province of Tucuman, Argentina	International Journal of Tropical Medicine		40-43	1		1		ARG0009
Journal	Taranto NJ	2000	Parasitoses caused by helminths	Infectologia & Microbiologia Clinica		40-41	2		12		ARG0010
Journal	Zonta ML, Navone GT, Oyhenart EE	2007	Intestinal parasites in preschool and school age children: current situation in urban, periurban and rural populations in Brandsen, Buenos Aires, Argentina	Parasitologia Latinoamericana		54-60	1-2		62		ARG0011
Journal	Socias ME, Fernandez A, Gil JF, Krolewiecki AJ	2014	Geohelmintiasis en la Argentina una revision sistematica	Medicina (Buenos Aires)		29-36			74		ARG0016
Journal	Barda, B. Cajal, P. Villagran, E. Cimino, R. Juarez, M. Krolewiecki, A. Rinaldi, L. Cringoli, G. Burioni, R. Albonico, M.	2014	Mini-FLOTAC, Kato-Katz and McMaster: three methods, one goal; highlights from north Argentina	Parasit & Vectors	""	271	""	""	7	""	ARG0025
Journal	Indelman, P. Echenique, C. Bertorini, G. Racca, L. Gomez, C. Luque, A. Magaro, H. M.	2011	Enteric parasites in children in Rosario, Sante Fe, Argentina	Acta Bioquímica Clínica Latinoamericana	""	329-34	2	""	45	""	ARG0026
Journal	Pezzani, B. C. Minvielle, M. C. De Luca, M. M. Radman, N. Iacoy, P. Basualdo Farjat, J. A.	1996	Intestinal parasite infections in a periurban community from the Province of Buenos Aires, Argentina	Bol Chil Parasitol	""	42-5	1-2	""	51	""	ARG0027
Journal	Julián Dib,  Juana Oquilla,  Silvia G. Lazarte, Silvia N. Gonzalez	2012	Parasitic Prevalence in a Suburban School of Famaillá, Tucumán, Argentina	ISRN Microbiology	""	4	Article ID 560376	""	2012	""	ARG0029
Journal	Gamboa. MI, Zonta. L, Navone. GT,	2010	Parasitos intestinales y pobreza: la vulnerabilidad de los mas carenciados en la Argentina de un mundo globalizado	J Selva Andina Res Soc	""	23-36	1	""	1	""	ARG0030
Journal	MENGHI, Claudia I;  IUVARO, Franco R;  DELLACASA, María A; GATTA, Claudia L	2007	Investigación de parásitos intestinales en una comunidad aborigen de la provincia de Salta	Medicina (Buenos Aires)	""	705-708	""	""	67	""	ARG0031
Journal	MILANO, Alicia M. F. OSCHEROV, Elena B. PALLADINO, Alberto C. BAR, Aníbal R.	2007	Enteroparasitosis infantil en un área urbana del nordeste argentino	Medicina (Buenos Aires)	""	238-242	3	""	63	""	ARG0032
Journal	Garraza, M. Zonta, M.L. Oyhenart, E.E.  Navone, G.T.	2014	Estado nutricional, composición corporal y enteroparasitosis en escolares del departamento de San Rafael, Mendoza, Argentina	Nutr. Clin. Diet. Hosp.	""	31-40	1	""	34	""	ARG0033
Journal	Dib, J. R. Fernandez-Zenoff, M. V. Oquilla, J. Lazarte, S. Gonzalez, S. N.	2015	Prevalence of intestinal parasitic infection among children from a shanty town in Tucuman, Argentina	Tropical Biomedicine	""	210-215	2	""	32	""	ARG0034
Journal	Orden, A. B. Apezteguia, M. C. Ciarmela, M. L. Molina, N. B. Pezzani, B. C. Rosa, D. Minvielle, M. C.	2014	Nutritional status in parasitized and nonparasitized children from two districts of Buenos Aires, Argentina	Am J Hum Bio	""	73-9	1	""	26	""	ARG0035
Journal	Hughes RG, Sharp DS, Hughes MC, Akau'ola S, Heinsbroek P, Velayudhan R, Schulz D, Palmer K, Cavalli-Sforza T, Galea G	2004	Environmental influences on helminthiasis and nutritional status among Pacific schoolchildren	Int J Environ Health Res	""	163-177	3	""	14	""	ASM0001
Journal	Ciferri F, Siliga N, Long G and Kessel JF	1969	A filariasis-control program in American Samoa	Am J Trop Med Hyg		369-378	3		18		ASM0001LF
Journal	Kessel JF, Siliga N, Tompkins H, Jr. and Jones K	1970	Periodic mass treatment with diethylcarbamazine for the control of filariasis in American Samoa	Bull World Health Organ		817-825	6		43		ASM0002LF
Report	WHO	2007	WHO country report					World Health Organization		World Health Organization	ASM0004LF
Journal	Mladonicky JM, King JD, Liang JL, Chambers E, Pa'au M, Schmaedick MA, Burkot TR, Bradley M and Lammie PJ	2009	Assessing transmission of lymphatic filariasis using parasitologic, serologic, and entomologic tools after mass drug administration in American Samoa	Am J Trop Med Hyg		769-773	5		80		ASM0005LF
Journal	Reynoldson JA, Behnke JM, Pallant LJ, Macnish MG, Gilbert F, Giles S, Spargo RJ, Thompson RC	1997	Failure of pyrantel in treatment of human hookworm infections (Ancylostoma duodenale) in the Kimberley region of north west Australia	Acta Trop		301-312	3		68		AUS0001
Journal	Khalafli Kh N	2009	Epidemiology aspects intestinal parasitosis among the population of Baku	Georgian Medical News		84-88	168				AZE0001
Journal	Engels D, Ndoricimpa J, Nahimana S, Gryseels B	1994	Control of Schistosoma mansoni and intestinal helminths: 8-year follow-up of an urban school programme in Bujumbura, Burundi	Acta Tropica		127-140	2		58		BDI0001
Journal	Gryseels B, Nkulikyinka L, Kabahizi E, Maregeya E	1987	A new focus of Schistosoma mansoni in the highlands of Burundi	Annals de la Socit Belge de Mdicine Tropicale		247-257	3		67		BDI0002
Journal	Clements AC, Deville MA, Ndayishimiye O, Brooker S, Fenwick A	2010	Spatial co-distribution of neglected tropical diseases in the east African great lakes region: revisiting the justification for integrated control	Trop Med Int Health		198-207	2		15		BDI0003
Journal	Alaofe H, Zee J, Dossa R, O'Brien HT	2008	Intestinal parasitic infections in adolescent girls from two boarding schools in southern Benin	Trans R Soc Trop Med Hyg		653-661	7		102		BEN0001
Journal	Pfister R	1954	[Results of an inquiry on microfilaria carriers in French West Africa]	Bull Soc Pathol Exot Filiales		408-411	3		47		BEN0001LF
Journal	Chippaux JP, Massougbodji A, Zomadi A, Kindafodji BM	1990	Epidemiological study of schistosomes in a coastal lake of recent formation	Bull Soc Pathol Exot		498-508 discussion 509	4		83		BEN0002
Journal	Brengues J, Subra R and BouchitŽ B	1969	Etude parasitologique, clinique et entomologique sur la filariose de Bancroft dans le Sud du Dahomey et du Togo	Cahiers ORSTOMSŽrie Entomologie MŽdicale et Parasitologie		279-305	4		7		BEN0002LF
Journal	Dossa RA, Ategbo EA, de Koning FL, van Raaij JM, Hautvast JG	2001	Impact of iron supplementation and deworming on growth performance in preschool Beninese children	Eur J Clin Nutr		223-228	4		55		BEN0003
Abstract	OCCGE	1969	Rapport final de la neuviem conference technique de IÕOCCGE, 21-25 April 1969. Bobo-Dioulasso, Burkina Faso.								BEN0003LF
Book	Brengues J, BouchitŽ B, Nelson G, Ouedraogo C, Gbaguidi P, Dyemkouma A and Ochoumare J	1975	La filariose de Bancroft en Afrique de l'Ouest		Paris			ORSTOM			BEN0004LF
Journal	Garba A, Kinde-Gazard D, Makoutode M, Boyer N, Ernould JC, Chippaux JP, Massougbodji A	2000	Preliminary evaluation of morbidity due to S. haematobium and S. mansoni in the area of the future Adjarala Dam in Benin	Sant 		323-328	5		10		BEN0005
Journal	Ibikounle M, Mouahid G, Sakiti NG, Massougbodji A, Mone H	2009	Freshwater snail diversity in Benin (West Africa) with a focus on human schistosomiasis	Acta Tropica		29-34	1		111		BEN0006
Journal	Ibikounle, M. Gbedjissi, L. G. Ogouyemi-Hounto, A. Batcho, W. Kinde-Gazard, D. Massougbodji, A.	2014	[Schistosomiasis and soil-transmitted helminthiasis among schoolchildren of Nikki and Perere, two northeastern towns of Benin]	Bull Soc Pathol Exot	""	171-6	3	""	107	""	BEN0007
Abstract	OCCGE	1969	Rapport final de la neuviem conference technique de IÕOCCGE, 21-25 April 1969. Bobo-Dioulasso, Burkina Faso.								BFA0001LF
Journal	Faucher P, Luong Dinh Giap G, Charpentier P, Ripert C, Le Bras M	1984	Epidemiology of intestinal helminthiasis (necatoriasis, taeniasis, ascariasis, trichuriasis) in the Kaya Region (Upper-Volta)	Bull Soc Pathol Exot Filiales		507-513	4		77		BFA0002
Journal	Gidel R, Brengues J and Rodhain F	1969	[Evaluation of 2 immunological tests (skin test and complement fixation test) for the detection of filariasis in populations of Upper Volta where Wuchereria bancrofti, Onchocerca volvulus and Dipetalonema perstans occur together]	Bull World Health Organ		831-842	6		40		BFA0002LF
Journal	Gbary AR, Guiguemde TR, Lozac'hmeur	1985	Aspects epidemiologiques des helminthiases intestinales en milieu urbain Burkinabe (Bobo-Dioulasso)	Organisation de Coordination et de Coopration pour la Lutte contre les Grandes Endmies		46-57	99		8736		BFA0003
Journal	Lamontellerie M	1972	[Results of surveys on the filariasis in western Upper Volta (Cercle de Banfora)]	Ann Parasitol Hum Comp		783-838	6		47		BFA0003LF
Journal	Poda JN, Dianou D, Kambou T, Sawadogo B, Sondo B	2001	Comparative study of 3 Schistosoma haematobium foci in Burkina Faso	Bull Soc Pathol Exot		25-28	1		94		BFA0004
Book	Brengues J, BouchitŽ B, Nelson G, Ouedraogo C, Gbaguidi P, Dyemkouma A and Ochoumare J	1975	La filariose de Bancroft en Afrique de l'Ouest		Paris			ORSTOM			BFA0004LF
Journal	Poda JN, Sorgho H, Dianou D, Sawadogo B, Kambou T, Parent G, Sondo B	2001	Parasitological profile of urinary schistosomiasis of the Sourou hydroagricultural complex of Burkina Faso	Bull Soc Pathol Exot		21-24	1		94		BFA0005
